Year,MonthTxt,MonthNum,Value
1950,DJF,1,-1.4
1950,JFM,2,-1.2
1950,FMA,3,-1.1
1950,MAM,4,-1.2
1950,AMJ,5,-1.1
1950,MJJ,6,-0.9
1950,JJA,7,-0.6
1950,JAS,8,-0.6
1950,ASO,9,-0.5
1950,SON,10,-0.6
1950,OND,11,-0.7
1950,NDJ,12,-0.8
1951,DJF,1,-0.8
1951,JFM,2,-0.6
1951,FMA,3,-0.2
1951,MAM,4,0.2
1951,AMJ,5,0.2
1951,MJJ,6,0.4
1951,JJA,7,0.5
1951,JAS,8,0.7
1951,ASO,9,0.8
1951,SON,10,0.9
1951,OND,11,0.7
1951,NDJ,12,0.6
1952,DJF,1,0.5
1952,JFM,2,0.4
1952,FMA,3,0.4
1952,MAM,4,0.4
1952,AMJ,5,0.4
1952,MJJ,6,0.2
1952,JJA,7,0
1952,JAS,8,0.1
1952,ASO,9,0.2
1952,SON,10,0.2
1952,OND,11,0.2
1952,NDJ,12,0.3
1953,DJF,1,0.5
1953,JFM,2,0.6
1953,FMA,3,0.7
1953,MAM,4,0.7
1953,AMJ,5,0.7
1953,MJJ,6,0.7
1953,JJA,7,0.7
1953,JAS,8,0.7
1953,ASO,9,0.8
1953,SON,10,0.8
1953,OND,11,0.8
1953,NDJ,12,0.7
1954,DJF,1,0.7
1954,JFM,2,0.4
1954,FMA,3,0
1954,MAM,4,-0.4
1954,AMJ,5,-0.5
1954,MJJ,6,-0.5
1954,JJA,7,-0.5
1954,JAS,8,-0.7
1954,ASO,9,-0.7
1954,SON,10,-0.6
1954,OND,11,-0.5
1954,NDJ,12,-0.5
1955,DJF,1,-0.6
1955,JFM,2,-0.6
1955,FMA,3,-0.7
1955,MAM,4,-0.7
1955,AMJ,5,-0.7
1955,MJJ,6,-0.6
1955,JJA,7,-0.6
1955,JAS,8,-0.6
1955,ASO,9,-1
1955,SON,10,-1.4
1955,OND,11,-1.6
1955,NDJ,12,-1.4
1956,DJF,1,-0.9
1956,JFM,2,-0.6
1956,FMA,3,-0.6
1956,MAM,4,-0.5
1956,AMJ,5,-0.5
1956,MJJ,6,-0.4
1956,JJA,7,-0.5
1956,JAS,8,-0.5
1956,ASO,9,-0.4
1956,SON,10,-0.4
1956,OND,11,-0.5
1956,NDJ,12,-0.4
1957,DJF,1,-0.3
1957,JFM,2,0
1957,FMA,3,0.3
1957,MAM,4,0.6
1957,AMJ,5,0.7
1957,MJJ,6,0.9
1957,JJA,7,1
1957,JAS,8,1.2
1957,ASO,9,1.1
1957,SON,10,1.2
1957,OND,11,1.3
1957,NDJ,12,1.6
1958,DJF,1,1.7
1958,JFM,2,1.5
1958,FMA,3,1.2
1958,MAM,4,0.8
1958,AMJ,5,0.7
1958,MJJ,6,0.6
1958,JJA,7,0.5
1958,JAS,8,0.4
1958,ASO,9,0.4
1958,SON,10,0.5
1958,OND,11,0.6
1958,NDJ,12,0.6
1959,DJF,1,0.6
1959,JFM,2,0.5
1959,FMA,3,0.4
1959,MAM,4,0.2
1959,AMJ,5,0.1
1959,MJJ,6,-0.2
1959,JJA,7,-0.3
1959,JAS,8,-0.3
1959,ASO,9,-0.1
1959,SON,10,-0.1
1959,OND,11,-0.1
1959,NDJ,12,-0.1
1960,DJF,1,-0.1
1960,JFM,2,-0.2
1960,FMA,3,-0.1
1960,MAM,4,0
1960,AMJ,5,-0.1
1960,MJJ,6,-0.2
1960,JJA,7,0
1960,JAS,8,0.1
1960,ASO,9,0.2
1960,SON,10,0.1
1960,OND,11,0
1960,NDJ,12,0
1961,DJF,1,0
1961,JFM,2,0
1961,FMA,3,-0.1
1961,MAM,4,0
1961,AMJ,5,0.1
1961,MJJ,6,0.2
1961,JJA,7,0.1
1961,JAS,8,-0.1
1961,ASO,9,-0.3
1961,SON,10,-0.3
1961,OND,11,-0.2
1961,NDJ,12,-0.2
1962,DJF,1,-0.2
1962,JFM,2,-0.2
1962,FMA,3,-0.2
1962,MAM,4,-0.3
1962,AMJ,5,-0.3
1962,MJJ,6,-0.2
1962,JJA,7,-0.1
1962,JAS,8,-0.2
1962,ASO,9,-0.2
1962,SON,10,-0.3
1962,OND,11,-0.3
1962,NDJ,12,-0.4
1963,DJF,1,-0.4
1963,JFM,2,-0.2
1963,FMA,3,0.1
1963,MAM,4,0.2
1963,AMJ,5,0.2
1963,MJJ,6,0.4
1963,JJA,7,0.7
1963,JAS,8,1
1963,ASO,9,1.1
1963,SON,10,1.2
1963,OND,11,1.2
1963,NDJ,12,1.1
1964,DJF,1,1
1964,JFM,2,0.6
1964,FMA,3,0.1
1964,MAM,4,-0.3
1964,AMJ,5,-0.6
1964,MJJ,6,-0.6
1964,JJA,7,-0.7
1964,JAS,8,-0.7
1964,ASO,9,-0.8
1964,SON,10,-0.8
1964,OND,11,-0.8
1964,NDJ,12,-0.8
1965,DJF,1,-0.5
1965,JFM,2,-0.3
1965,FMA,3,-0.1
1965,MAM,4,0.1
1965,AMJ,5,0.4
1965,MJJ,6,0.7
1965,JJA,7,1
1965,JAS,8,1.3
1965,ASO,9,1.6
1965,SON,10,1.7
1965,OND,11,1.8
1965,NDJ,12,1.5
1966,DJF,1,1.3
1966,JFM,2,1
1966,FMA,3,0.9
1966,MAM,4,0.6
1966,AMJ,5,0.3
1966,MJJ,6,0.2
1966,JJA,7,0.2
1966,JAS,8,0.1
1966,ASO,9,0
1966,SON,10,-0.1
1966,OND,11,-0.1
1966,NDJ,12,-0.3
1967,DJF,1,-0.4
1967,JFM,2,-0.5
1967,FMA,3,-0.5
1967,MAM,4,-0.5
1967,AMJ,5,-0.2
1967,MJJ,6,0
1967,JJA,7,0
1967,JAS,8,-0.2
1967,ASO,9,-0.3
1967,SON,10,-0.4
1967,OND,11,-0.4
1967,NDJ,12,-0.5
1968,DJF,1,-0.7
1968,JFM,2,-0.8
1968,FMA,3,-0.7
1968,MAM,4,-0.5
1968,AMJ,5,-0.1
1968,MJJ,6,0.2
1968,JJA,7,0.5
1968,JAS,8,0.4
1968,ASO,9,0.3
1968,SON,10,0.4
1968,OND,11,0.6
1968,NDJ,12,0.8
1969,DJF,1,0.9
1969,JFM,2,1
1969,FMA,3,0.9
1969,MAM,4,0.7
1969,AMJ,5,0.6
1969,MJJ,6,0.5
1969,JJA,7,0.4
1969,JAS,8,0.5
1969,ASO,9,0.8
1969,SON,10,0.8
1969,OND,11,0.8
1969,NDJ,12,0.7
1970,DJF,1,0.6
1970,JFM,2,0.4
1970,FMA,3,0.4
1970,MAM,4,0.3
1970,AMJ,5,0.1
1970,MJJ,6,-0.3
1970,JJA,7,-0.6
1970,JAS,8,-0.8
1970,ASO,9,-0.8
1970,SON,10,-0.8
1970,OND,11,-0.9
1970,NDJ,12,-1.2
1971,DJF,1,-1.3
1971,JFM,2,-1.3
1971,FMA,3,-1.1
1971,MAM,4,-0.9
1971,AMJ,5,-0.8
1971,MJJ,6,-0.7
1971,JJA,7,-0.8
1971,JAS,8,-0.7
1971,ASO,9,-0.8
1971,SON,10,-0.8
1971,OND,11,-0.9
1971,NDJ,12,-0.8
1972,DJF,1,-0.7
1972,JFM,2,-0.4
1972,FMA,3,0
1972,MAM,4,0.3
1972,AMJ,5,0.6
1972,MJJ,6,0.8
1972,JJA,7,1.1
1972,JAS,8,1.3
1972,ASO,9,1.5
1972,SON,10,1.8
1972,OND,11,2
1972,NDJ,12,1.9
1973,DJF,1,1.7
1973,JFM,2,1.2
1973,FMA,3,0.6
1973,MAM,4,0
1973,AMJ,5,-0.4
1973,MJJ,6,-0.8
1973,JJA,7,-1
1973,JAS,8,-1.2
1973,ASO,9,-1.4
1973,SON,10,-1.7
1973,OND,11,-1.9
1973,NDJ,12,-1.9
1974,DJF,1,-1.7
1974,JFM,2,-1.5
1974,FMA,3,-1.2
1974,MAM,4,-1
1974,AMJ,5,-0.9
1974,MJJ,6,-0.8
1974,JJA,7,-0.6
1974,JAS,8,-0.4
1974,ASO,9,-0.4
1974,SON,10,-0.6
1974,OND,11,-0.7
1974,NDJ,12,-0.6
1975,DJF,1,-0.5
1975,JFM,2,-0.5
1975,FMA,3,-0.6
1975,MAM,4,-0.6
1975,AMJ,5,-0.7
1975,MJJ,6,-0.8
1975,JJA,7,-1
1975,JAS,8,-1.1
1975,ASO,9,-1.3
1975,SON,10,-1.4
1975,OND,11,-1.5
1975,NDJ,12,-1.6
1976,DJF,1,-1.5
1976,JFM,2,-1.1
1976,FMA,3,-0.7
1976,MAM,4,-0.4
1976,AMJ,5,-0.3
1976,MJJ,6,-0.1
1976,JJA,7,0.1
1976,JAS,8,0.3
1976,ASO,9,0.5
1976,SON,10,0.7
1976,OND,11,0.8
1976,NDJ,12,0.8
1977,DJF,1,0.7
1977,JFM,2,0.6
1977,FMA,3,0.4
1977,MAM,4,0.3
1977,AMJ,5,0.3
1977,MJJ,6,0.4
1977,JJA,7,0.4
1977,JAS,8,0.4
1977,ASO,9,0.5
1977,SON,10,0.6
1977,OND,11,0.8
1977,NDJ,12,0.8
1978,DJF,1,0.7
1978,JFM,2,0.4
1978,FMA,3,0.1
1978,MAM,4,-0.2
1978,AMJ,5,-0.3
1978,MJJ,6,-0.3
1978,JJA,7,-0.4
1978,JAS,8,-0.4
1978,ASO,9,-0.4
1978,SON,10,-0.3
1978,OND,11,-0.1
1978,NDJ,12,0
1979,DJF,1,0
1979,JFM,2,0.1
1979,FMA,3,0.2
1979,MAM,4,0.3
1979,AMJ,5,0.3
1979,MJJ,6,0.1
1979,JJA,7,0.1
1979,JAS,8,0.2
1979,ASO,9,0.3
1979,SON,10,0.5
1979,OND,11,0.5
1979,NDJ,12,0.6
1980,DJF,1,0.6
1980,JFM,2,0.5
1980,FMA,3,0.3
1980,MAM,4,0.4
1980,AMJ,5,0.5
1980,MJJ,6,0.5
1980,JJA,7,0.3
1980,JAS,8,0.2
1980,ASO,9,0
1980,SON,10,0.1
1980,OND,11,0.1
1980,NDJ,12,0
1981,DJF,1,-0.2
1981,JFM,2,-0.4
1981,FMA,3,-0.4
1981,MAM,4,-0.3
1981,AMJ,5,-0.2
1981,MJJ,6,-0.3
1981,JJA,7,-0.3
1981,JAS,8,-0.3
1981,ASO,9,-0.2
1981,SON,10,-0.1
1981,OND,11,-0.1
1981,NDJ,12,0
1982,DJF,1,0
1982,JFM,2,0.1
1982,FMA,3,0.2
1982,MAM,4,0.5
1982,AMJ,5,0.6
1982,MJJ,6,0.7
1982,JJA,7,0.8
1982,JAS,8,1
1982,ASO,9,1.5
1982,SON,10,1.9
1982,OND,11,2.1
1982,NDJ,12,2.1
1983,DJF,1,2.1
1983,JFM,2,1.8
1983,FMA,3,1.5
1983,MAM,4,1.2
1983,AMJ,5,1
1983,MJJ,6,0.7
1983,JJA,7,0.3
1983,JAS,8,0
1983,ASO,9,-0.3
1983,SON,10,-0.6
1983,OND,11,-0.8
1983,NDJ,12,-0.8
1984,DJF,1,-0.5
1984,JFM,2,-0.3
1984,FMA,3,-0.3
1984,MAM,4,-0.4
1984,AMJ,5,-0.4
1984,MJJ,6,-0.4
1984,JJA,7,-0.3
1984,JAS,8,-0.2
1984,ASO,9,-0.3
1984,SON,10,-0.6
1984,OND,11,-0.9
1984,NDJ,12,-1.1
1985,DJF,1,-0.9
1985,JFM,2,-0.7
1985,FMA,3,-0.7
1985,MAM,4,-0.7
1985,AMJ,5,-0.7
1985,MJJ,6,-0.6
1985,JJA,7,-0.4
1985,JAS,8,-0.4
1985,ASO,9,-0.4
1985,SON,10,-0.3
1985,OND,11,-0.2
1985,NDJ,12,-0.3
1986,DJF,1,-0.4
1986,JFM,2,-0.4
1986,FMA,3,-0.3
1986,MAM,4,-0.2
1986,AMJ,5,-0.1
1986,MJJ,6,0
1986,JJA,7,0.2
1986,JAS,8,0.4
1986,ASO,9,0.7
1986,SON,10,0.9
1986,OND,11,1
1986,NDJ,12,1.1
1987,DJF,1,1.1
1987,JFM,2,1.2
1987,FMA,3,1.1
1987,MAM,4,1
1987,AMJ,5,0.9
1987,MJJ,6,1.1
1987,JJA,7,1.4
1987,JAS,8,1.6
1987,ASO,9,1.6
1987,SON,10,1.4
1987,OND,11,1.2
1987,NDJ,12,1.1
1988,DJF,1,0.8
1988,JFM,2,0.5
1988,FMA,3,0.1
1988,MAM,4,-0.3
1988,AMJ,5,-0.8
1988,MJJ,6,-1.2
1988,JJA,7,-1.2
1988,JAS,8,-1.1
1988,ASO,9,-1.2
1988,SON,10,-1.4
1988,OND,11,-1.7
1988,NDJ,12,-1.8
1989,DJF,1,-1.6
1989,JFM,2,-1.4
1989,FMA,3,-1.1
1989,MAM,4,-0.9
1989,AMJ,5,-0.6
1989,MJJ,6,-0.4
1989,JJA,7,-0.3
1989,JAS,8,-0.3
1989,ASO,9,-0.3
1989,SON,10,-0.3
1989,OND,11,-0.2
1989,NDJ,12,-0.1
1990,DJF,1,0.1
1990,JFM,2,0.2
1990,FMA,3,0.2
1990,MAM,4,0.2
1990,AMJ,5,0.2
1990,MJJ,6,0.3
1990,JJA,7,0.3
1990,JAS,8,0.3
1990,ASO,9,0.4
1990,SON,10,0.3
1990,OND,11,0.4
1990,NDJ,12,0.4
1991,DJF,1,0.4
1991,JFM,2,0.3
1991,FMA,3,0.2
1991,MAM,4,0.2
1991,AMJ,5,0.4
1991,MJJ,6,0.6
1991,JJA,7,0.7
1991,JAS,8,0.7
1991,ASO,9,0.7
1991,SON,10,0.8
1991,OND,11,1.2
1991,NDJ,12,1.4
1992,DJF,1,1.6
1992,JFM,2,1.5
1992,FMA,3,1.4
1992,MAM,4,1.2
1992,AMJ,5,1
1992,MJJ,6,0.8
1992,JJA,7,0.5
1992,JAS,8,0.2
1992,ASO,9,0
1992,SON,10,-0.1
1992,OND,11,-0.1
1992,NDJ,12,0
1993,DJF,1,0.2
1993,JFM,2,0.3
1993,FMA,3,0.5
