#  California Cooling Degree Days
# Units: Fahrenheit Degree-Days
Date,Value
200001,0
200002,0
200003,1
200004,20
200005,63
200006,158
200007,186
200008,250
200009,139
200010,14
200011,0
200012,0
200101,0
200102,0
200103,4
200104,2
200105,106
200106,155
200107,197
200108,248
200109,160
200110,56
200111,4
200112,0
200201,0
200202,0
200203,0
200204,10
200205,29
200206,127
200207,261
200208,209
200209,172
200210,15
200211,7
200212,0
200301,10
200302,0
200303,4
200304,1
200305,35
200306,116
200307,320
200308,272
200309,206
200310,93
200311,0
200312,0
200401,0
200402,0
200403,20
200404,18
200405,56
200406,115
200407,246
200408,230
200409,158
200410,14
200411,0
200412,0
200501,0
200502,0
200503,1
200504,6
200505,44
200506,70
200507,307
200508,262
200509,90
200510,25
200511,8
200512,0
200601,0
200602,0
200603,0
200604,2
200605,58
200606,193
200607,377
200608,212
200609,141
200610,19
200611,8
200612,0
200701,0
200702,0
200703,10
200704,13
200705,49
200706,124
200707,269
200708,283
200709,106
200710,27
200711,7
200712,0
200801,0
200802,0
200803,4
200804,11
200805,31
200806,157
200807,265
200808,282
200809,191
200810,65
200811,12
200812,0
200901,4
200902,0
200903,1
200904,8
200905,87
200906,79
200907,289
200908,245
200909,227
200910,20
200911,5
200912,0
201001,0
201002,0
201003,0
201004,1
201005,14
201006,100
201007,214
201008,192
201009,154
201010,28
201011,0
201012,0
201101,0
201102,0
201103,1
201104,9
201105,16
201106,73
201107,217
201108,235
201109,180
201110,43
201111,0
201112,0
201201,4
201202,0
201203,1
201204,13
201205,54
201206,108
201207,211
201208,334
201209,231
201210,56
201211,7
201212,0
201301,0
201302,0
201303,8
201304,22
201305,63
201306,161
201307,289
201308,235
201309,160
201310,20
201311,5
201312,0
201401,10
201402,3
201403,10
201404,22
201405,80
201406,151
201407,313
201408,253
201409,224
201410,96
201411,11
201412,0
201501,5
201502,7
201503,26
201504,18
201505,23
201506,197
201507,233
201508,300
201509,237
201510,111
201511,0
201512,0
201601,0
201602,10
201603,6
201604,22
201605,33
201606,201
201607,282
201608,267
201609,145
201610,47
201611,10
201612,0
201701,0
201702,0
201703,10
201704,20
201705,47
201706,180
201707,336
201708,320
201709,161
201710,76
201711,14
201712,3
201801,8
201802,0
201803,1
201804,20
201805,35
201806,138
201807,377
201808,298
201809,171
201810,45
201811,8
201812,0
201901,0
201902,0
201903,1
201904,22
201905,14
201906,134
201907,244
201908,284
201909,155
201910,36
201911,6
201912,0
202001,0
202002,0
202003,0
202004,13
202005,74
202006,130
202007,250
202008,355
202009,259
202010,120
202011,5
202012,0
202101,0
202102,0
202103,0
202104,20
202105,53
202106,202
202107,344
202108,296
202109,192
202110,20
202111,19
202112,0
202201,3
202202,0
202203,6
202204,18
202205,43
202206,179
202207,282
202208,340
202209,271
202210,63
202211,0
202212,0
202301,0
202302,0
202303,0
202304,10
202305,27
202306,58
202307,327
202308,274
202309,105
202310,59
202311,6
202312,0
202401,0
202402,0
202403,0
202404,8
202405,36
202406,177
202407,388
202408,282
202409,200
202410,101
202411,0
202412,0
202501,0
202502,3
202503,1
202504,12
202505,58
202506,153
202507,205
202508,304
202509,187
202510,37
202511,8
202512,5
202601,6
202602,5
202603,67
