"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00048135","SHASTA DAM, CA US","2010-01-01",,,"1.34","0.0","0.0","47","40","46"
"USC00048135","SHASTA DAM, CA US","2010-01-02",,,"0.71","0.0","0.0","50","44","44"
"USC00048135","SHASTA DAM, CA US","2010-01-03",,,"0.00","0.0","0.0","53","44","44"
"USC00048135","SHASTA DAM, CA US","2010-01-04",,,"0.00","0.0","0.0","58","42","42"
"USC00048135","SHASTA DAM, CA US","2010-01-05",,,"0.00","0.0","0.0","58","42","45"
"USC00048135","SHASTA DAM, CA US","2010-01-06",,,"0.00","0.0","0.0","56","45","48"
"USC00048135","SHASTA DAM, CA US","2010-01-07",,,"0.00","0.0","0.0","53","37","38"
"USC00048135","SHASTA DAM, CA US","2010-01-08",,,"0.00","0.0","0.0","53","37","41"
"USC00048135","SHASTA DAM, CA US","2010-01-09",,,"0.16","0.0","0.0","47","41","46"
"USC00048135","SHASTA DAM, CA US","2010-01-10",,,"0.05","0.0","0.0","54","45","46"
"USC00048135","SHASTA DAM, CA US","2010-01-11",,,"0.00","0.0","0.0","56","42","43"
"USC00048135","SHASTA DAM, CA US","2010-01-12",,,"0.95","0.0","0.0","50","43","45"
"USC00048135","SHASTA DAM, CA US","2010-01-13",,,"2.57","0.0","0.0","52","45","47"
"USC00048135","SHASTA DAM, CA US","2010-01-14",,,"0.00","0.0","0.0","57","43","43"
"USC00048135","SHASTA DAM, CA US","2010-01-15",,,"0.00","0.0","0.0","57","42","45"
"USC00048135","SHASTA DAM, CA US","2010-01-16",,,"0.00","0.0","0.0","50","43","44"
"USC00048135","SHASTA DAM, CA US","2010-01-17",,,"0.50","0.0","0.0","55","44","45"
"USC00048135","SHASTA DAM, CA US","2010-01-18",,,"3.05","0.0","0.0","48","45","48"
"USC00048135","SHASTA DAM, CA US","2010-01-19",,,"2.22","0.0","0.0","49","44","45"
"USC00048135","SHASTA DAM, CA US","2010-01-20",,,"2.10","0.0","0.0","45","40","40"
"USC00048135","SHASTA DAM, CA US","2010-01-21",,,"3.19","0.0","0.0","44","34","42"
"USC00048135","SHASTA DAM, CA US","2010-01-22",,,"0.40","0.0","0.0","44","39","39"
"USC00048135","SHASTA DAM, CA US","2010-01-23",,,"1.13","0.0","0.0","42","32","33"
"USC00048135","SHASTA DAM, CA US","2010-01-24",,,"0.39","0.0","0.0","41","33","41"
"USC00048135","SHASTA DAM, CA US","2010-01-25",,,"1.60","0.0","0.0","42","38","38"
"USC00048135","SHASTA DAM, CA US","2010-01-26",,,"1.31","0.0","0.0","42","36","40"
"USC00048135","SHASTA DAM, CA US","2010-01-27",,,"0.00","0.0","0.0","52","39","44"
"USC00048135","SHASTA DAM, CA US","2010-01-28",,,"0.00","0.0","0.0","57","43","46"
"USC00048135","SHASTA DAM, CA US","2010-01-29",,,"0.00","0.0","0.0","58","43","44"
"USC00048135","SHASTA DAM, CA US","2010-01-30",,,"0.01","0.0","0.0","52","44","44"
"USC00048135","SHASTA DAM, CA US","2010-01-31",,,"0.10","0.0","0.0","48","43","43"
"USC00048135","SHASTA DAM, CA US","2010-02-01",,,"0.02","0.0","0.0","55","41","42"
"USC00048135","SHASTA DAM, CA US","2010-02-02",,,"0.41","0.0","0.0","55","41","43"
"USC00048135","SHASTA DAM, CA US","2010-02-03",,,"0.25","0.0","0.0","53","43","46"
"USC00048135","SHASTA DAM, CA US","2010-02-04",,,"0.26","0.0","0.0","52","44","44"
"USC00048135","SHASTA DAM, CA US","2010-02-05",,,"3.41","0.0","0.0","52","44","47"
"USC00048135","SHASTA DAM, CA US","2010-02-06",,,"0.90","0.0","0.0","50","43","43"
"USC00048135","SHASTA DAM, CA US","2010-02-07",,,"0.70","0.0","0.0","46","40","41"
"USC00048135","SHASTA DAM, CA US","2010-02-08",,,"0.00","0.0","0.0","58","41","41"
"USC00048135","SHASTA DAM, CA US","2010-02-09",,,"0.45","0.0","0.0","51","41","41"
"USC00048135","SHASTA DAM, CA US","2010-02-10",,,"0.00","0.0","0.0","56","39","40"
"USC00048135","SHASTA DAM, CA US","2010-02-11",,,"0.20","0.0","0.0","49","40","43"
"USC00048135","SHASTA DAM, CA US","2010-02-12",,,"0.74","0.0","0.0","48","43","45"
"USC00048135","SHASTA DAM, CA US","2010-02-13",,,"0.05","0.0","0.0","52","44","48"
"USC00048135","SHASTA DAM, CA US","2010-02-14",,,"0.00","0.0","0.0","59","43","43"
"USC00048135","SHASTA DAM, CA US","2010-02-15",,,"0.05","0.0","0.0","50","43","44"
"USC00048135","SHASTA DAM, CA US","2010-02-16",,,"0.00","0.0","0.0","63","44","51"
"USC00048135","SHASTA DAM, CA US","2010-02-17",,,"0.00","0.0","0.0","72","49","50"
"USC00048135","SHASTA DAM, CA US","2010-02-18",,,"0.00","0.0","0.0","71","46","47"
"USC00048135","SHASTA DAM, CA US","2010-02-19",,,"0.00","0.0","0.0","68","45","46"
"USC00048135","SHASTA DAM, CA US","2010-02-20",,,"0.00","0.0","0.0","65","45","47"
"USC00048135","SHASTA DAM, CA US","2010-02-21",,,"0.15","0.0","0.0","61","39","39"
"USC00048135","SHASTA DAM, CA US","2010-02-22",,,"0.00","0.0","0.0","55","38","41"
"USC00048135","SHASTA DAM, CA US","2010-02-23",,,"0.00","0.0","0.0","59","41","42"
"USC00048135","SHASTA DAM, CA US","2010-02-24",,,"1.49","0.0","0.0","43","36","39"
"USC00048135","SHASTA DAM, CA US","2010-02-25",,,"0.02","0.0","0.0","51","39","44"
"USC00048135","SHASTA DAM, CA US","2010-02-26",,,"0.57","0.0","0.0","55","42","48"
"USC00048135","SHASTA DAM, CA US","2010-02-27",,,"2.35","0.0","0.0","50","44","44"
"USC00048135","SHASTA DAM, CA US","2010-02-28",,,"0.00","0.0","0.0","62","44","46"
"USC00048135","SHASTA DAM, CA US","2010-03-01",,,"0.00","0.0","0.0","66","45","45"
"USC00048135","SHASTA DAM, CA US","2010-03-02",,,"0.10","0.0","0.0","53","45","48"
"USC00048135","SHASTA DAM, CA US","2010-03-03",,,"2.46","0.0","0.0","50","39","40"
"USC00048135","SHASTA DAM, CA US","2010-03-04",,,"0.03","0.0","0.0","49","36","36"
"USC00048135","SHASTA DAM, CA US","2010-03-05",,,"0.01","0.0","0.0","49","36","44"
"USC00048135","SHASTA DAM, CA US","2010-03-06",,,"0.02","0.0","0.0","54","43","51"
"USC00048135","SHASTA DAM, CA US","2010-03-07",,,"0.00","0.0","0.0","68","45","46"
"USC00048135","SHASTA DAM, CA US","2010-03-08",,,"0.00","0.0","0.0","69","45","46"
"USC00048135","SHASTA DAM, CA US","2010-03-09",,,"0.03","0.0","0.0","56","37","38"
"USC00048135","SHASTA DAM, CA US","2010-03-10",,,"0.28","0.0","0.0","49","34","36"
"USC00048135","SHASTA DAM, CA US","2010-03-11",,,"0.00","0.0","0.0","56","36","40"
"USC00048135","SHASTA DAM, CA US","2010-03-12",,,"0.04","0.0","0.0","57","40","46"
"USC00048135","SHASTA DAM, CA US","2010-03-13",,,"1.82","0.0","0.0","52","35","36"
"USC00048135","SHASTA DAM, CA US","2010-03-14",,,"0.00","0.0","0.0","55","35","44"
"USC00048135","SHASTA DAM, CA US","2010-03-15",,,"0.00","0.0","0.0","67","44","47"
"USC00048135","SHASTA DAM, CA US","2010-03-16",,,"0.00","0.0","0.0","66","45","45"
"USC00048135","SHASTA DAM, CA US","2010-03-17",,,"0.00","0.0","0.0","66","44","50"
"USC00048135","SHASTA DAM, CA US","2010-03-18",,,"0.00","0.0","0.0","74","50","53"
"USC00048135","SHASTA DAM, CA US","2010-03-19",,,"0.00","0.0","0.0","72","51","51"
"USC00048135","SHASTA DAM, CA US","2010-03-20",,,"0.00","0.0","0.0","77","48","48"
"USC00048135","SHASTA DAM, CA US","2010-03-21",,,"0.00","0.0","0.0","69","47","49"
"USC00048135","SHASTA DAM, CA US","2010-03-22",,,"0.02","0.0","0.0","59","44","45"
"USC00048135","SHASTA DAM, CA US","2010-03-23",,,"0.00","0.0","0.0","65","44","50"
"USC00048135","SHASTA DAM, CA US","2010-03-24",,,"0.00","0.0","0.0","74","47","48"
"USC00048135","SHASTA DAM, CA US","2010-03-25",,,"0.02","0.0","0.0","67","44","45"
"USC00048135","SHASTA DAM, CA US","2010-03-26",,,"0.14","0.0","0.0","55","38","38"
"USC00048135","SHASTA DAM, CA US","2010-03-27",,,"0.00","0.0","0.0","61","38","48"
"USC00048135","SHASTA DAM, CA US","2010-03-28",,,"0.00","0.0","0.0","69","47","50"
"USC00048135","SHASTA DAM, CA US","2010-03-29",,,"0.05","0.0","0.0","60","49","50"
"USC00048135","SHASTA DAM, CA US","2010-03-30",,,"0.20","0.0","0.0","58","42","43"
"USC00048135","SHASTA DAM, CA US","2010-03-31",,,"0.02","0.0","0.0","54","36","36"
"USC00048135","SHASTA DAM, CA US","2010-04-01",,,"0.00","0.0","0.0","50","36","40"
"USC00048135","SHASTA DAM, CA US","2010-04-02",,,"0.02","0.0","0.0","59","40","42"
"USC00048135","SHASTA DAM, CA US","2010-04-03",,,"1.14","0.0","0.0","48","35","36"
"USC00048135","SHASTA DAM, CA US","2010-04-04",,,"0.09","0.0","0.0","52","36","41"
"USC00048135","SHASTA DAM, CA US","2010-04-05",,,"0.88","0.0","0.0","43","36","37"
"USC00048135","SHASTA DAM, CA US","2010-04-06",,,"0.02","0.0","0.0","51","37","37"
"USC00048135","SHASTA DAM, CA US","2010-04-07",,"0.00",,"0.0","0.0","61","37","49"
"USC00048135","SHASTA DAM, CA US","2010-04-08",,,"0.00","0.0","0.0","76","47","48"
"USC00048135","SHASTA DAM, CA US","2010-04-09",,,"0.00","0.0","0.0","63","47","47"
"USC00048135","SHASTA DAM, CA US","2010-04-10",,,"0.00","0.0","0.0","67","46","49"
"USC00048135","SHASTA DAM, CA US","2010-04-11",,,"0.02","0.0","0.0","57","46","47"
"USC00048135","SHASTA DAM, CA US","2010-04-12",,,"2.60","0.0","0.0","47","38","44"
"USC00048135","SHASTA DAM, CA US","2010-04-13",,,"1.25","0.0","0.0","47","42","45"
"USC00048135","SHASTA DAM, CA US","2010-04-14",,,"0.23","0.0","0.0","56","45","46"
"USC00048135","SHASTA DAM, CA US","2010-04-15",,,"0.45","0.0","0.0","53","42","43"
"USC00048135","SHASTA DAM, CA US","2010-04-16",,,"0.00","0.0","0.0","66","43","46"
"USC00048135","SHASTA DAM, CA US","2010-04-17",,,"0.00","0.0","0.0","68","46","51"
"USC00048135","SHASTA DAM, CA US","2010-04-18",,,"0.00","0.0","0.0","72","49","51"
"USC00048135","SHASTA DAM, CA US","2010-04-19",,,"0.00","0.0","0.0","79","50","52"
"USC00048135","SHASTA DAM, CA US","2010-04-20",,,"0.76","0.0","0.0","70","45","45"
"USC00048135","SHASTA DAM, CA US","2010-04-21",,,"0.50","0.0","0.0","51","43","45"
"USC00048135","SHASTA DAM, CA US","2010-04-22",,,"0.01","0.0","0.0","61","45","51"
"USC00048135","SHASTA DAM, CA US","2010-04-23",,,"0.00","0.0","0.0","72","51","54"
"USC00048135","SHASTA DAM, CA US","2010-04-24",,,"0.00","0.0","0.0","78","50","52"
"USC00048135","SHASTA DAM, CA US","2010-04-25",,,"0.00","0.0","0.0","75","52","54"
"USC00048135","SHASTA DAM, CA US","2010-04-26",,,"0.00","0.0","0.0","80","53","53"
