date,load_forecast_mean_mw,load_forecast_max_mw,load_forecast_min_mw
2010-01-01,21690.8125,25565.5,19205.5
2010-01-02,22377.75,26983.5,19009.5
2010-01-03,21920.958333333332,27263.0,18565.5
2010-01-04,25318.729166666668,30458.5,19046.0
2010-01-05,25509.25,30272.5,19781.5
2010-01-06,25748.458333333332,30303.0,19992.5
2010-01-07,25591.8125,30129.5,20074.5
2010-01-08,25388.8125,29468.5,20094.0
2010-01-09,23281.458333333332,27557.0,19591.0
2010-01-10,22432.0,27414.0,18946.0
2010-01-11,25120.354166666668,30091.5,18970.0
2010-01-12,25317.25,30006.5,19608.0
2010-01-13,25259.104166666668,30054.5,19597.5
2010-01-14,25348.270833333332,29993.0,19686.0
2010-01-15,25297.916666666668,29408.5,20019.5
2010-01-16,23100.6875,27213.5,19649.5
2010-01-17,22370.208333333332,27395.0,19093.0
2010-01-18,24686.854166666668,29723.0,19033.0
2010-01-19,25580.104166666668,30429.0,19773.5
2010-01-20,25567.395833333332,30352.0,19745.0
2010-01-21,26262.375,31238.5,19798.5
2010-01-22,25764.604166666668,30146.5,20214.5
2010-01-23,23910.25,28084.5,20363.5
2010-01-24,23070.541666666668,27942.5,19718.5
2010-01-25,25731.333333333332,30454.5,19539.0
2010-01-26,25808.229166666668,30351.5,20195.0
2010-01-27,25509.125,29928.0,20156.0
2010-01-28,25617.3125,29924.0,20279.5
2010-01-29,25321.458333333332,29203.5,20245.0
2010-01-30,23112.208333333332,27233.5,19853.0
2010-01-31,22427.125,27200.0,19431.0
2010-02-01,25118.833333333332,29896.5,19277.5
2010-02-02,25324.791666666668,29707.0,19862.0
2010-02-03,25272.041666666668,29687.0,19859.0
2010-02-04,25336.9375,29648.5,19908.5
2010-02-05,25030.083333333332,28923.0,19818.5
2010-02-06,22689.0,26928.5,19229.0
2010-02-07,22119.854166666668,27026.5,18827.5
2010-02-08,25056.333333333332,30016.5,19238.0
2010-02-09,25498.041666666668,30114.0,20111.5
2010-02-10,25223.270833333332,29792.5,19704.0
2010-02-11,25219.25,29612.5,19907.0
2010-02-12,24723.520833333332,28624.0,19596.5
2010-02-13,22421.083333333332,26414.0,19109.0
2010-02-14,21423.895833333332,26079.5,18440.5
2010-02-15,23478.791666666668,28445.5,18313.5
2010-02-16,24636.041666666668,29245.5,19010.5
2010-02-17,24662.854166666668,29255.5,19088.5
2010-02-18,24552.604166666668,29031.5,19396.5
2010-02-19,24383.75,28455.0,19198.5
2010-02-20,22362.145833333332,26315.0,19633.0
2010-02-21,21632.854166666668,26393.5,18524.5
2010-02-22,24546.9375,29326.0,19464.5
2010-02-23,25502.770833333332,30035.0,20231.5
2010-02-24,25297.5625,29857.5,19854.0
2010-02-25,24743.125,28998.5,19768.0
2010-02-26,24383.854166666668,28330.0,19236.5
2010-02-27,22160.166666666668,26334.5,19025.0
2010-02-28,21678.645833333332,26511.0,19004.0
2010-03-01,24357.0,28860.0,18836.5
2010-03-02,24718.354166666668,28794.5,19550.0
2010-03-03,24640.5,29072.5,19456.5
2010-03-04,24799.395833333332,29070.5,19793.0
2010-03-05,24613.770833333332,28159.0,19900.5
2010-03-06,22419.520833333332,26184.5,19446.5
2010-03-07,21446.458333333332,26228.5,18672.5
2010-03-08,24345.125,29070.5,18743.5
2010-03-09,25010.291666666668,29539.0,19815.5
2010-03-10,25136.0,29283.5,19879.5
2010-03-11,25189.083333333332,29007.0,20667.5
2010-03-12,24680.875,27972.0,20452.5
2010-03-13,22253.625,26234.0,19088.0
2010-03-14,21851.021739130436,26124.0,19193.0
2010-03-15,24434.895833333332,28315.5,18610.5
2010-03-16,24901.9375,28812.5,19437.5
2010-03-17,25073.458333333332,28862.0,19119.0
2010-03-18,25027.354166666668,28622.5,19313.5
2010-03-19,24652.104166666668,27521.5,19358.5
2010-03-20,22467.25,25633.0,19560.0
2010-03-21,21779.708333333332,25922.5,18881.5
2010-03-22,24512.395833333332,28245.5,19076.5
2010-03-23,24781.0,28128.5,19853.5
2010-03-24,24923.020833333332,28204.5,20187.5
2010-03-25,24735.8125,28079.5,19979.0
2010-03-26,24424.645833333332,27072.5,20051.5
2010-03-27,22384.0,25498.5,19530.5
2010-03-28,21718.416666666668,25837.0,18876.0
2010-03-29,24800.5625,28512.5,19036.5
2010-03-30,24672.875,28406.5,19684.0
2010-03-31,24655.6875,28325.5,19890.5
2010-04-01,24594.1875,28177.5,20021.5
2010-04-02,23735.5625,26411.0,19731.0
2010-04-03,22023.4375,25471.5,19226.5
2010-04-04,20567.833333333332,24708.5,18390.0
2010-04-05,24322.4375,28294.5,19022.5
2010-04-06,24534.8125,28087.0,19700.0
2010-04-07,24717.8125,28096.0,19803.0
2010-04-08,24868.145833333332,28131.0,19884.5
2010-04-09,24465.354166666668,27073.0,19926.0
2010-04-10,22129.6875,25221.0,19485.0
2010-04-11,21517.333333333332,25538.0,18897.5
2010-04-12,24152.270833333332,27895.5,19040.0
2010-04-13,24468.0,28227.0,19690.0
2010-04-14,24571.5,27862.5,19736.5
2010-04-15,24632.666666666668,27811.0,19989.0
2010-04-16,24366.229166666668,26893.5,19924.5
2010-04-17,22443.875,25812.5,19300.0
2010-04-18,21791.229166666668,25803.0,18404.5
2010-04-19,24421.895833333332,28273.0,18902.0
2010-04-20,24351.604166666668,28054.5,19237.5
2010-04-21,24304.145833333332,27641.0,19468.5
2010-04-22,24276.125,27574.0,19717.0
2010-04-23,24507.0625,27486.0,19803.5
2010-04-24,22191.8125,25145.5,19251.5
2010-04-25,21745.416666666668,25761.5,18585.5
2010-04-26,24907.875,28538.0,18851.0
2010-04-27,24870.875,28140.0,19467.0
2010-04-28,24309.833333333332,27452.5,19443.0
2010-04-29,24199.1875,27292.5,19282.0
2010-04-30,24025.541666666668,26806.5,19482.5
2010-05-01,22134.833333333332,25133.5,19114.0
2010-05-02,21567.833333333332,25912.0,18372.5
2010-05-03,25105.8125,28841.0,18758.0
2010-05-04,25396.458333333332,28874.0,19689.5
2010-05-05,25540.9375,29114.0,19892.0
2010-05-06,25496.5,28822.5,20130.5
2010-05-07,25205.604166666668,28303.5,19997.5
2010-05-08,22694.854166666668,25816.5,19151.0
2010-05-09,21678.8125,25802.5,18947.0
2010-05-10,24535.354166666668,27838.0,19529.0
2010-05-11,24772.979166666668,27866.0,19845.5
2010-05-12,25037.375,28009.0,19901.5
2010-05-13,25471.833333333332,28706.0,20257.0
2010-05-14,25562.5625,28911.5,20201.5
2010-05-15,23466.6875,26625.5,19592.0
2010-05-16,22559.166666666668,26455.0,19003.5
2010-05-17,24643.0625,27890.0,19342.5
2010-05-18,25070.145833333332,28088.5,20132.0
2010-05-19,25559.979166666668,28623.5,20072.5
2010-05-20,26163.729166666668,29546.0,20593.0
2010-05-21,25167.354166666668,28246.5,20216.0
2010-05-22,22487.645833333332,25024.5,19816.0
2010-05-23,21734.520833333332,25356.0,19108.0
2010-05-24,24746.791666666668,27921.5,19443.5
2010-05-25,25405.916666666668,28322.0,20229.0
2010-05-26,25323.583333333332,28349.0,20299.5
2010-05-27,25052.708333333332,27788.5,20298.5
2010-05-28,25055.25,27845.5,20451.0
2010-05-29,23273.395833333332,26543.0,19558.0
2010-05-30,23167.0625,27378.5,18505.5
2010-05-31,23600.8125,27787.5,18936.5
2010-06-01,26426.666666666668,30232.5,20403.0
2010-06-02,27287.354166666668,31441.0,20947.5
2010-06-03,27666.541666666668,32081.5,21158.5
2010-06-04,28140.770833333332,33175.0,21500.5
2010-06-05,26753.458333333332,31467.0,21415.5
2010-06-06,26539.708333333332,31644.5,20441.5
2010-06-07,28929.291666666668,34501.5,21380.0
2010-06-08,27966.8125,32349.0,21494.0
2010-06-09,27466.875,31381.0,21357.5
2010-06-10,26679.979166666668,30110.0,21029.0
2010-06-11,26567.5,29845.5,20776.0
2010-06-12,24921.666666666668,28260.0,20277.5
2010-06-13,25073.229166666668,29655.0,19584.0
2010-06-14,29233.75,35561.0,20890.0
2010-06-15,28441.270833333332,33333.5,21586.5
2010-06-16,27465.520833333332,31241.5,21297.0
2010-06-17,27474.166666666668,31843.5,20928.5
2010-06-18,26881.708333333332,30685.5,20948.0
2010-06-19,23825.541666666668,26591.0,20280.0
2010-06-20,23538.666666666668,27285.0,19217.0
2010-06-21,27009.729166666668,31539.5,20057.0
2010-06-22,28312.604166666668,33880.0,21081.5
2010-06-23,28672.791666666668,34086.5,21432.0
2010-06-24,28685.416666666668,34236.0,21590.0
2010-06-25,28362.6875,32940.0,21832.5
2010-06-26,26316.104166666668,30328.0,21238.0
2010-06-27,26583.5,31912.0,20417.5
2010-06-28,31049.270833333332,38539.5,22057.5
2010-06-29,31086.875,37705.5,23042.0
2010-06-30,30027.895833333332,35893.0,22478.0
2010-07-01,30069.875,36535.5,22311.5
2010-07-02,28773.979166666668,33979.5,22075.5
2010-07-03,26111.583333333332,30247.0,20839.5
2010-07-04,25420.9375,30349.5,19437.0
2010-07-05,26719.708333333332,31652.5,20906.0
2010-07-06,29139.208333333332,34511.0,21618.5
2010-07-07,29207.104166666668,34469.5,22257.0
2010-07-08,29293.5,34858.5,22209.0
2010-07-09,30537.8125,37339.0,22668.0
2010-07-10,28730.8125,34615.0,22448.0
2010-07-11,27761.604166666668,33150.0,21679.0
2010-07-12,30308.75,36234.0,22301.5
2010-07-13,30465.0,36496.5,22951.0
2010-07-14,31551.6875,39048.0,23240.0
2010-07-15,34351.5,43875.5,24127.0
2010-07-16,36382.1875,47142.0,25380.0
2010-07-17,33459.1875,42217.5,24826.5
2010-07-18,31429.854166666668,39594.5,23272.0
2010-07-19,32805.979166666664,40510.5,23503.0
2010-07-20,32076.5625,39363.0,23627.0
2010-07-21,31038.479166666668,37646.0,23112.0
2010-07-22,30803.5,37318.0,22772.0
2010-07-23,30273.6875,36474.0,22595.5
2010-07-24,29037.020833333332,35128.5,22578.5
2010-07-25,28322.4375,34477.5,21836.0
2010-07-26,30476.1875,36703.5,22441.0
2010-07-27,29640.25,35213.0,22466.5
2010-07-28,28863.145833333332,33523.0,22070.5
