#  California Heating Degree Days
# Units: Fahrenheit Degree-Days
Date,Value
200001,478
200002,427
200003,414
200004,235
200005,121
200006,23
200007,11
200008,2
200009,25
200010,193
200011,464
200012,443
200101,594
200102,530
200103,358
200104,380
200105,69
200106,26
200107,7
200108,2
200109,18
200110,94
200111,325
200112,567
200201,582
200202,388
200203,452
200204,293
200205,179
200206,37
200207,0
200208,3
200209,15
200210,184
200211,283
200212,536
200301,355
200302,454
200303,374
200304,409
200305,163
200306,44
200307,0
200308,2
200309,9
200310,61
200311,436
200312,533
200401,546
200402,502
200403,233
200404,233
200405,126
200406,44
200407,1
200408,1
200409,20
200410,189
200411,440
200412,513
200501,520
200502,421
200503,380
200504,330
200505,146
200506,84
200507,0
200508,0
200509,51
200510,153
200511,279
200512,456
200601,514
200602,398
200603,585
200604,355
200605,121
200606,15
200607,0
200608,5
200609,24
200610,176
200611,307
200612,521
200701,609
200702,436
200703,298
200704,273
200705,135
200706,39
200707,0
200708,1
200709,41
200710,163
200711,281
200712,606
200801,601
200802,457
200803,388
200804,290
200805,168
200806,27
200807,1
200808,1
200809,12
200810,93
200811,247
200812,583
200901,435
200902,472
200903,428
200904,307
200905,89
200906,68
200907,0
200908,1
200909,5
200910,174
200911,331
200912,577
201001,492
201002,437
201003,420
201004,388
201005,248
201006,55
201007,6
201008,9
201009,20
201010,141
201011,394
201012,482
201101,482
201102,523
201103,437
201104,312
201105,240
201106,80
201107,4
201108,3
201109,12
201110,118
201111,402
201112,574
201201,447
201202,439
201203,447
201204,273
201205,130
201206,51
201207,4
201208,0
201209,7
201210,100
201211,291
201212,559
201301,576
201302,476
201303,317
201304,219
201305,112
201306,22
201307,0
201308,2
201309,21
201310,166
201311,303
201312,498
201401,341
201402,352
201403,300
201404,217
201405,91
201406,25
201407,0
201408,1
201409,7
201410,60
201411,257
201412,444
201501,397
201502,270
201503,212
201504,236
201505,196
201506,13
201507,0
201508,1
201509,7
201510,48
201511,398
201512,569
201601,509
201602,271
201603,337
201604,213
201605,159
201606,14
201607,1
201608,0
201609,21
201610,127
201611,268
201612,525
201701,574
201702,420
201703,305
201704,245
201705,133
201706,17
201707,0
201708,0
201709,16
201710,87
201711,252
201712,400
201801,373
201802,419
201803,428
201804,240
201805,159
201806,31
201807,0
201808,1
201809,18
201810,112
201811,270
201812,495
201901,474
201902,589
201903,434
201904,215
201905,240
201906,32
201907,3
201908,0
201909,23
201910,141
201911,284
201912,515
202001,497
202002,367
202003,470
202004,258
202005,102
202006,32
202007,1
202008,0
202009,2
202010,41
202011,328
202012,472
202101,483
202102,406
202103,472
202104,230
202105,125
202106,12
202107,0
202108,0
202109,11
202110,171
202111,226
202112,553
202201,462
202202,406
202203,334
202204,252
202205,146
202206,18
202207,0
202208,0
202209,3
202210,86
202211,431
202212,534
202301,582
202302,542
202303,566
202304,288
202305,186
202306,93
202307,0
202308,0
202309,39
202310,95
202311,290
202312,404
202401,494
202402,450
202403,445
202404,299
202405,161
202406,18
202407,0
202408,1
202409,10
202410,54
202411,388
202412,397
202501,505
202502,369
202503,434
202504,278
202505,118
202506,26
202507,6
202508,0
202509,11
202510,137
202511,259
202512,358
202601,392
202602,321
202603,128
