Date,HDD (F),CDD (F)
200001,478,0
200002,427,0
200003,414,1
200004,235,20
200005,121,63
200006,23,158
200007,11,186
200008,2,250
200009,25,139
200010,193,14
200011,464,0
200012,443,0
200101,594,0
200102,530,0
200103,358,4
200104,380,2
200105,69,106
200106,26,155
200107,7,197
200108,2,248
200109,18,160
200110,94,56
200111,325,4
200112,567,0
200201,582,0
200202,388,0
200203,452,0
200204,293,10
200205,179,29
200206,37,127
200207,0,261
200208,3,209
200209,15,172
200210,184,15
200211,283,7
200212,536,0
200301,355,10
200302,454,0
200303,374,4
200304,409,1
200305,163,35
200306,44,116
200307,0,320
200308,2,272
200309,9,206
200310,61,93
200311,436,0
200312,533,0
200401,546,0
200402,502,0
200403,233,20
200404,233,18
200405,126,56
200406,44,115
200407,1,246
200408,1,230
200409,20,158
200410,189,14
200411,440,0
200412,513,0
200501,520,0
200502,421,0
200503,380,1
200504,330,6
200505,146,44
200506,84,70
200507,0,307
200508,0,262
200509,51,90
200510,153,25
200511,279,8
200512,456,0
200601,514,0
200602,398,0
200603,585,0
200604,355,2
200605,121,58
200606,15,193
200607,0,377
200608,5,212
200609,24,141
200610,176,19
200611,307,8
200612,521,0
200701,609,0
200702,436,0
200703,298,10
200704,273,13
200705,135,49
200706,39,124
200707,0,269
200708,1,283
200709,41,106
200710,163,27
200711,281,7
200712,606,0
200801,601,0
200802,457,0
200803,388,4
200804,290,11
200805,168,31
200806,27,157
200807,1,265
200808,1,282
200809,12,191
200810,93,65
200811,247,12
200812,583,0
200901,435,4
200902,472,0
200903,428,1
200904,307,8
200905,89,87
200906,68,79
200907,0,289
200908,1,245
200909,5,227
200910,174,20
200911,331,5
200912,577,0
201001,492,0
201002,437,0
201003,420,0
201004,388,1
201005,248,14
201006,55,100
201007,6,214
201008,9,192
201009,20,154
201010,141,28
201011,394,0
201012,482,0
201101,482,0
201102,523,0
201103,437,1
201104,312,9
201105,240,16
201106,80,73
201107,4,217
201108,3,235
201109,12,180
201110,118,43
201111,402,0
201112,574,0
201201,447,4
201202,439,0
201203,447,1
201204,273,13
201205,130,54
201206,51,108
201207,4,211
201208,0,334
201209,7,231
201210,100,56
201211,291,7
201212,559,0
201301,576,0
201302,476,0
201303,317,8
201304,219,22
201305,112,63
201306,22,161
201307,0,289
201308,2,235
201309,21,160
201310,166,20
201311,303,5
201312,498,0
201401,341,10
201402,352,3
201403,300,10
201404,217,22
201405,91,80
201406,25,151
201407,0,313
201408,1,253
201409,7,224
201410,60,96
201411,257,11
201412,444,0
201501,397,5
201502,270,7
201503,212,26
201504,236,18
201505,196,23
201506,13,197
201507,0,233
201508,1,300
201509,7,237
201510,48,111
201511,398,0
201512,569,0
201601,509,0
201602,271,10
201603,337,6
201604,213,22
201605,159,33
201606,14,201
201607,1,282
201608,0,267
201609,21,145
201610,127,47
201611,268,10
201612,525,0
201701,574,0
201702,420,0
201703,305,10
201704,245,20
201705,133,47
201706,17,180
201707,0,336
201708,0,320
201709,16,161
201710,87,76
201711,252,14
201712,400,3
201801,373,8
201802,419,0
201803,428,1
201804,240,20
201805,159,35
201806,31,138
201807,0,377
201808,1,298
201809,18,171
201810,112,45
201811,270,8
201812,495,0
201901,474,0
201902,589,0
201903,434,1
201904,215,22
201905,240,14
201906,32,134
201907,3,244
201908,0,284
201909,23,155
201910,141,36
201911,284,6
201912,515,0
202001,497,0
202002,367,0
202003,470,0
202004,258,13
202005,102,74
202006,32,130
202007,1,250
202008,0,355
202009,2,259
202010,41,120
202011,328,5
202012,472,0
202101,483,0
202102,406,0
202103,472,0
202104,230,20
202105,125,53
202106,12,202
202107,0,344
202108,0,296
202109,11,192
202110,171,20
202111,226,19
202112,553,0
202201,462,3
202202,406,0
202203,334,6
202204,252,18
202205,146,43
202206,18,179
202207,0,282
202208,0,340
202209,3,271
202210,86,63
202211,431,0
202212,534,0
202301,582,0
202302,542,0
202303,566,0
202304,288,10
202305,186,27
202306,93,58
202307,0,327
202308,0,274
202309,39,105
202310,95,59
202311,290,6
202312,404,0
202401,494,0
202402,450,0
202403,445,0
202404,299,8
202405,161,36
202406,18,177
202407,0,388
202408,1,282
202409,10,200
202410,54,101
202411,388,0
202412,397,0
202501,505,0
202502,369,3
202503,434,1
202504,278,12
202505,118,58
202506,26,153
202507,6,205
202508,0,304
202509,11,187
202510,137,37
202511,259,8
202512,358,5
202601,392,6
202602,321,5
202603,128,67
