STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00048135,"SHASTA DAM, CA US",1/1/2010,,,1.34,0,0,47,40,46
USC00048135,"SHASTA DAM, CA US",1/2/2010,,,0.71,0,0,50,44,44
USC00048135,"SHASTA DAM, CA US",1/3/2010,,,0,0,0,53,44,44
USC00048135,"SHASTA DAM, CA US",1/4/2010,,,0,0,0,58,42,42
USC00048135,"SHASTA DAM, CA US",1/5/2010,,,0,0,0,58,42,45
USC00048135,"SHASTA DAM, CA US",1/6/2010,,,0,0,0,56,45,48
USC00048135,"SHASTA DAM, CA US",1/7/2010,,,0,0,0,53,37,38
USC00048135,"SHASTA DAM, CA US",1/8/2010,,,0,0,0,53,37,41
USC00048135,"SHASTA DAM, CA US",1/9/2010,,,0.16,0,0,47,41,46
USC00048135,"SHASTA DAM, CA US",1/10/2010,,,0.05,0,0,54,45,46
USC00048135,"SHASTA DAM, CA US",1/11/2010,,,0,0,0,56,42,43
USC00048135,"SHASTA DAM, CA US",1/12/2010,,,0.95,0,0,50,43,45
USC00048135,"SHASTA DAM, CA US",1/13/2010,,,2.57,0,0,52,45,47
USC00048135,"SHASTA DAM, CA US",1/14/2010,,,0,0,0,57,43,43
USC00048135,"SHASTA DAM, CA US",1/15/2010,,,0,0,0,57,42,45
USC00048135,"SHASTA DAM, CA US",1/16/2010,,,0,0,0,50,43,44
USC00048135,"SHASTA DAM, CA US",1/17/2010,,,0.5,0,0,55,44,45
USC00048135,"SHASTA DAM, CA US",1/18/2010,,,3.05,0,0,48,45,48
USC00048135,"SHASTA DAM, CA US",1/19/2010,,,2.22,0,0,49,44,45
USC00048135,"SHASTA DAM, CA US",1/20/2010,,,2.1,0,0,45,40,40
USC00048135,"SHASTA DAM, CA US",1/21/2010,,,3.19,0,0,44,34,42
USC00048135,"SHASTA DAM, CA US",1/22/2010,,,0.4,0,0,44,39,39
USC00048135,"SHASTA DAM, CA US",1/23/2010,,,1.13,0,0,42,32,33
USC00048135,"SHASTA DAM, CA US",1/24/2010,,,0.39,0,0,41,33,41
USC00048135,"SHASTA DAM, CA US",1/25/2010,,,1.6,0,0,42,38,38
USC00048135,"SHASTA DAM, CA US",1/26/2010,,,1.31,0,0,42,36,40
USC00048135,"SHASTA DAM, CA US",1/27/2010,,,0,0,0,52,39,44
USC00048135,"SHASTA DAM, CA US",1/28/2010,,,0,0,0,57,43,46
USC00048135,"SHASTA DAM, CA US",1/29/2010,,,0,0,0,58,43,44
USC00048135,"SHASTA DAM, CA US",1/30/2010,,,0.01,0,0,52,44,44
USC00048135,"SHASTA DAM, CA US",1/31/2010,,,0.1,0,0,48,43,43
USC00048135,"SHASTA DAM, CA US",2/1/2010,,,0.02,0,0,55,41,42
USC00048135,"SHASTA DAM, CA US",2/2/2010,,,0.41,0,0,55,41,43
USC00048135,"SHASTA DAM, CA US",2/3/2010,,,0.25,0,0,53,43,46
USC00048135,"SHASTA DAM, CA US",2/4/2010,,,0.26,0,0,52,44,44
USC00048135,"SHASTA DAM, CA US",2/5/2010,,,3.41,0,0,52,44,47
USC00048135,"SHASTA DAM, CA US",2/6/2010,,,0.9,0,0,50,43,43
USC00048135,"SHASTA DAM, CA US",2/7/2010,,,0.7,0,0,46,40,41
USC00048135,"SHASTA DAM, CA US",2/8/2010,,,0,0,0,58,41,41
USC00048135,"SHASTA DAM, CA US",2/9/2010,,,0.45,0,0,51,41,41
USC00048135,"SHASTA DAM, CA US",2/10/2010,,,0,0,0,56,39,40
USC00048135,"SHASTA DAM, CA US",2/11/2010,,,0.2,0,0,49,40,43
USC00048135,"SHASTA DAM, CA US",2/12/2010,,,0.74,0,0,48,43,45
USC00048135,"SHASTA DAM, CA US",2/13/2010,,,0.05,0,0,52,44,48
USC00048135,"SHASTA DAM, CA US",2/14/2010,,,0,0,0,59,43,43
USC00048135,"SHASTA DAM, CA US",2/15/2010,,,0.05,0,0,50,43,44
USC00048135,"SHASTA DAM, CA US",2/16/2010,,,0,0,0,63,44,51
USC00048135,"SHASTA DAM, CA US",2/17/2010,,,0,0,0,72,49,50
USC00048135,"SHASTA DAM, CA US",2/18/2010,,,0,0,0,71,46,47
USC00048135,"SHASTA DAM, CA US",2/19/2010,,,0,0,0,68,45,46
USC00048135,"SHASTA DAM, CA US",2/20/2010,,,0,0,0,65,45,47
USC00048135,"SHASTA DAM, CA US",2/21/2010,,,0.15,0,0,61,39,39
USC00048135,"SHASTA DAM, CA US",2/22/2010,,,0,0,0,55,38,41
USC00048135,"SHASTA DAM, CA US",2/23/2010,,,0,0,0,59,41,42
USC00048135,"SHASTA DAM, CA US",2/24/2010,,,1.49,0,0,43,36,39
USC00048135,"SHASTA DAM, CA US",2/25/2010,,,0.02,0,0,51,39,44
USC00048135,"SHASTA DAM, CA US",2/26/2010,,,0.57,0,0,55,42,48
USC00048135,"SHASTA DAM, CA US",2/27/2010,,,2.35,0,0,50,44,44
USC00048135,"SHASTA DAM, CA US",2/28/2010,,,0,0,0,62,44,46
USC00048135,"SHASTA DAM, CA US",3/1/2010,,,0,0,0,66,45,45
USC00048135,"SHASTA DAM, CA US",3/2/2010,,,0.1,0,0,53,45,48
USC00048135,"SHASTA DAM, CA US",3/3/2010,,,2.46,0,0,50,39,40
USC00048135,"SHASTA DAM, CA US",3/4/2010,,,0.03,0,0,49,36,36
USC00048135,"SHASTA DAM, CA US",3/5/2010,,,0.01,0,0,49,36,44
USC00048135,"SHASTA DAM, CA US",3/6/2010,,,0.02,0,0,54,43,51
USC00048135,"SHASTA DAM, CA US",3/7/2010,,,0,0,0,68,45,46
USC00048135,"SHASTA DAM, CA US",3/8/2010,,,0,0,0,69,45,46
USC00048135,"SHASTA DAM, CA US",3/9/2010,,,0.03,0,0,56,37,38
USC00048135,"SHASTA DAM, CA US",3/10/2010,,,0.28,0,0,49,34,36
USC00048135,"SHASTA DAM, CA US",3/11/2010,,,0,0,0,56,36,40
USC00048135,"SHASTA DAM, CA US",3/12/2010,,,0.04,0,0,57,40,46
USC00048135,"SHASTA DAM, CA US",3/13/2010,,,1.82,0,0,52,35,36
USC00048135,"SHASTA DAM, CA US",3/14/2010,,,0,0,0,55,35,44
USC00048135,"SHASTA DAM, CA US",3/15/2010,,,0,0,0,67,44,47
USC00048135,"SHASTA DAM, CA US",3/16/2010,,,0,0,0,66,45,45
USC00048135,"SHASTA DAM, CA US",3/17/2010,,,0,0,0,66,44,50
USC00048135,"SHASTA DAM, CA US",3/18/2010,,,0,0,0,74,50,53
USC00048135,"SHASTA DAM, CA US",3/19/2010,,,0,0,0,72,51,51
USC00048135,"SHASTA DAM, CA US",3/20/2010,,,0,0,0,77,48,48
USC00048135,"SHASTA DAM, CA US",3/21/2010,,,0,0,0,69,47,49
USC00048135,"SHASTA DAM, CA US",3/22/2010,,,0.02,0,0,59,44,45
USC00048135,"SHASTA DAM, CA US",3/23/2010,,,0,0,0,65,44,50
USC00048135,"SHASTA DAM, CA US",3/24/2010,,,0,0,0,74,47,48
USC00048135,"SHASTA DAM, CA US",3/25/2010,,,0.02,0,0,67,44,45
USC00048135,"SHASTA DAM, CA US",3/26/2010,,,0.14,0,0,55,38,38
USC00048135,"SHASTA DAM, CA US",3/27/2010,,,0,0,0,61,38,48
USC00048135,"SHASTA DAM, CA US",3/28/2010,,,0,0,0,69,47,50
USC00048135,"SHASTA DAM, CA US",3/29/2010,,,0.05,0,0,60,49,50
USC00048135,"SHASTA DAM, CA US",3/30/2010,,,0.2,0,0,58,42,43
USC00048135,"SHASTA DAM, CA US",3/31/2010,,,0.02,0,0,54,36,36
USC00048135,"SHASTA DAM, CA US",4/1/2010,,,0,0,0,50,36,40
USC00048135,"SHASTA DAM, CA US",4/2/2010,,,0.02,0,0,59,40,42
USC00048135,"SHASTA DAM, CA US",4/3/2010,,,1.14,0,0,48,35,36
USC00048135,"SHASTA DAM, CA US",4/4/2010,,,0.09,0,0,52,36,41
USC00048135,"SHASTA DAM, CA US",4/5/2010,,,0.88,0,0,43,36,37
USC00048135,"SHASTA DAM, CA US",4/6/2010,,,0.02,0,0,51,37,37
USC00048135,"SHASTA DAM, CA US",4/7/2010,,0,,0,0,61,37,49
USC00048135,"SHASTA DAM, CA US",4/8/2010,,,0,0,0,76,47,48
USC00048135,"SHASTA DAM, CA US",4/9/2010,,,0,0,0,63,47,47
USC00048135,"SHASTA DAM, CA US",4/10/2010,,,0,0,0,67,46,49
USC00048135,"SHASTA DAM, CA US",4/11/2010,,,0.02,0,0,57,46,47
USC00048135,"SHASTA DAM, CA US",4/12/2010,,,2.6,0,0,47,38,44
USC00048135,"SHASTA DAM, CA US",4/13/2010,,,1.25,0,0,47,42,45
USC00048135,"SHASTA DAM, CA US",4/14/2010,,,0.23,0,0,56,45,46
USC00048135,"SHASTA DAM, CA US",4/15/2010,,,0.45,0,0,53,42,43
USC00048135,"SHASTA DAM, CA US",4/16/2010,,,0,0,0,66,43,46
USC00048135,"SHASTA DAM, CA US",4/17/2010,,,0,0,0,68,46,51
USC00048135,"SHASTA DAM, CA US",4/18/2010,,,0,0,0,72,49,51
USC00048135,"SHASTA DAM, CA US",4/19/2010,,,0,0,0,79,50,52
USC00048135,"SHASTA DAM, CA US",4/20/2010,,,0.76,0,0,70,45,45
USC00048135,"SHASTA DAM, CA US",4/21/2010,,,0.5,0,0,51,43,45
USC00048135,"SHASTA DAM, CA US",4/22/2010,,,0.01,0,0,61,45,51
USC00048135,"SHASTA DAM, CA US",4/23/2010,,,0,0,0,72,51,54
USC00048135,"SHASTA DAM, CA US",4/24/2010,,,0,0,0,78,50,52
USC00048135,"SHASTA DAM, CA US",4/25/2010,,,0,0,0,75,52,54
USC00048135,"SHASTA DAM, CA US",4/26/2010,,,0,0,0,80,53,53
USC00048135,"SHASTA DAM, CA US",4/27/2010,,,1.55,0,0,68,50,52
USC00048135,"SHASTA DAM, CA US",4/28/2010,,,0.71,0,0,57,41,42
USC00048135,"SHASTA DAM, CA US",4/29/2010,,,0.14,0,0,56,38,42
USC00048135,"SHASTA DAM, CA US",4/30/2010,,,0.02,0,0,61,42,47
USC00048135,"SHASTA DAM, CA US",5/1/2010,,,0,0,0,68,46,53
USC00048135,"SHASTA DAM, CA US",5/2/2010,,,0,0,0,74,46,60
USC00048135,"SHASTA DAM, CA US",5/3/2010,,,0,0,0,77,52,55
USC00048135,"SHASTA DAM, CA US",5/4/2010,,,0,0,0,79,49,50
USC00048135,"SHASTA DAM, CA US",5/5/2010,,,0,0,0,73,49,51
USC00048135,"SHASTA DAM, CA US",5/6/2010,,,0,0,0,63,44,46
USC00048135,"SHASTA DAM, CA US",5/7/2010,,,0,0,0,70,46,52
USC00048135,"SHASTA DAM, CA US",5/8/2010,,,0,0,0,75,52,55
USC00048135,"SHASTA DAM, CA US",5/9/2010,,,0.29,0,0,75,50,50
USC00048135,"SHASTA DAM, CA US",5/10/2010,,,0.4,0,0,64,47,47
USC00048135,"SHASTA DAM, CA US",5/11/2010,,,0.73,0,0,52,42,44
USC00048135,"SHASTA DAM, CA US",5/12/2010,,,0,0,0,71,42,54
USC00048135,"SHASTA DAM, CA US",5/13/2010,,,0,0,0,76,54,59
USC00048135,"SHASTA DAM, CA US",5/14/2010,,,0,0,0,81,55,57
USC00048135,"SHASTA DAM, CA US",5/15/2010,,,0,0,0,83,57,58
USC00048135,"SHASTA DAM, CA US",5/16/2010,,,0,0,0,82,58,60
USC00048135,"SHASTA DAM, CA US",5/17/2010,,,0,0,0,78,54,56
USC00048135,"SHASTA DAM, CA US",5/18/2010,,,0.63,0,0,64,51,51
USC00048135,"SHASTA DAM, CA US",5/19/2010,,,0.03,0,0,65,51,56
USC00048135,"SHASTA DAM, CA US",5/20/2010,,,0.23,0,0,59,44,47
USC00048135,"SHASTA DAM, CA US",5/21/2010,,,0,0,0,70,47,51
USC00048135,"SHASTA DAM, CA US",5/22/2010,,,0.02,0,0,61,38,43
USC00048135,"SHASTA DAM, CA US",5/23/2010,,,0,0,0,58,43,49
USC00048135,"SHASTA DAM, CA US",5/24/2010,,,0,0,0,70,49,49
USC00048135,"SHASTA DAM, CA US",5/25/2010,,,0.02,0,0,60,49,51
USC00048135,"SHASTA DAM, CA US",5/26/2010,,,0.73,0,0,54,49,50
USC00048135,"SHASTA DAM, CA US",5/27/2010,,,0.21,0,0,62,46,47
USC00048135,"SHASTA DAM, CA US",5/28/2010,,,0.51,0,0,49,45,46
USC00048135,"SHASTA DAM, CA US",5/29/2010,,,0,0,0,68,46,53
USC00048135,"SHASTA DAM, CA US",5/30/2010,,,0,0,0,79,53,60
USC00048135,"SHASTA DAM, CA US",5/31/2010,,,0,0,0,84,53,62
USC00048135,"SHASTA DAM, CA US",6/1/2010,,,0,0,0,75,61,61
USC00048135,"SHASTA DAM, CA US",6/2/2010,,,0,0,0,75,60,63
USC00048135,"SHASTA DAM, CA US",6/3/2010,,,0.08,0,0,70,58,60
USC00048135,"SHASTA DAM, CA US",6/4/2010,,,0.41,0,0,68,59,60
USC00048135,"SHASTA DAM, CA US",6/5/2010,,,0.04,0,0,67,57,59
USC00048135,"SHASTA DAM, CA US",6/6/2010,,,0.01,0,0,73,59,64
USC00048135,"SHASTA DAM, CA US",6/7/2010,,,0,0,0,80,62,65
USC00048135,"SHASTA DAM, CA US",6/8/2010,,,0,0,0,85,61,63
USC00048135,"SHASTA DAM, CA US",6/9/2010,,,0,0,0,84,60,63
USC00048135,"SHASTA DAM, CA US",6/10/2010,,,0,0,0,77,55,58
USC00048135,"SHASTA DAM, CA US",6/11/2010,,,0,0,0,74,56,58
USC00048135,"SHASTA DAM, CA US",6/12/2010,,,0,0,0,80,58,66
USC00048135,"SHASTA DAM, CA US",6/13/2010,,,0,0,0,89,66,69
USC00048135,"SHASTA DAM, CA US",6/14/2010,,,0,0,0,89,67,71
USC00048135,"SHASTA DAM, CA US",6/15/2010,,,0,0,0,90,65,67
USC00048135,"SHASTA DAM, CA US",6/16/2010,,,0,0,0,84,54,57
USC00048135,"SHASTA DAM, CA US",6/17/2010,,,0,0,0,78,57,60
USC00048135,"SHASTA DAM, CA US",6/18/2010,,,0,0,0,82,60,62
USC00048135,"SHASTA DAM, CA US",6/19/2010,,,0,0,0,83,55,55
USC00048135,"SHASTA DAM, CA US",6/20/2010,,,0,0,0,74,55,59
USC00048135,"SHASTA DAM, CA US",6/21/2010,,,0,0,0,80,59,65
USC00048135,"SHASTA DAM, CA US",6/22/2010,,,0,0,0,87,65,68
USC00048135,"SHASTA DAM, CA US",6/23/2010,,,0,0,0,88,65,69
USC00048135,"SHASTA DAM, CA US",6/24/2010,,,0,0,0,91,68,71
USC00048135,"SHASTA DAM, CA US",6/25/2010,,,0,0,0,88,64,66
USC00048135,"SHASTA DAM, CA US",6/26/2010,,,0,0,0,87,66,71
USC00048135,"SHASTA DAM, CA US",6/27/2010,,,0,0,0,94,71,76
USC00048135,"SHASTA DAM, CA US",6/28/2010,,,0,0,0,97,74,76
USC00048135,"SHASTA DAM, CA US",6/29/2010,,,0,0,0,100,71,74
USC00048135,"SHASTA DAM, CA US",6/30/2010,,,0,0,0,93,69,70
USC00048135,"SHASTA DAM, CA US",7/1/2010,,,0,0,0,90,65,67
USC00048135,"SHASTA DAM, CA US",7/2/2010,,,0,0,0,89,64,66
USC00048135,"SHASTA DAM, CA US",7/3/2010,,,0,0,0,89,64,66
USC00048135,"SHASTA DAM, CA US",7/4/2010,,,0,0,0,89,66,71
USC00048135,"SHASTA DAM, CA US",7/5/2010,,,0,0,0,95,71,75
USC00048135,"SHASTA DAM, CA US",7/6/2010,,,0,0,0,95,72,74
USC00048135,"SHASTA DAM, CA US",7/7/2010,,,0,0,0,96,68,72
USC00048135,"SHASTA DAM, CA US",7/8/2010,,,0,0,0,100,71,75
USC00048135,"SHASTA DAM, CA US",7/9/2010,,,0,0,0,,,
USC00048135,"SHASTA DAM, CA US",7/10/2010,,,0,0,0,103,73,76
USC00048135,"SHASTA DAM, CA US",7/11/2010,,,0,0,0,103,72,75
USC00048135,"SHASTA DAM, CA US",7/12/2010,,,0,0,0,101,72,75
USC00048135,"SHASTA DAM, CA US",7/13/2010,,,0,0,0,97,66,67
USC00048135,"SHASTA DAM, CA US",7/14/2010,,,0,0,0,90,67,72
USC00048135,"SHASTA DAM, CA US",7/15/2010,,,0,0,0,97,71,74
USC00048135,"SHASTA DAM, CA US",7/16/2010,,,0,0,0,99,74,78
USC00048135,"SHASTA DAM, CA US",7/17/2010,,,0,0,0,104,75,78
USC00048135,"SHASTA DAM, CA US",7/18/2010,,,0,0,0,104,73,77
USC00048135,"SHASTA DAM, CA US",7/19/2010,,,0,0,0,103,75,77
USC00048135,"SHASTA DAM, CA US",7/20/2010,,,0,0,0,100,75,77
USC00048135,"SHASTA DAM, CA US",7/21/2010,,,0,0,0,102,71,74
USC00048135,"SHASTA DAM, CA US",7/22/2010,,,0,0,0,95,70,73
USC00048135,"SHASTA DAM, CA US",7/23/2010,,,0,0,0,102,72,75
USC00048135,"SHASTA DAM, CA US",7/24/2010,,,0,0,0,100,72,75
USC00048135,"SHASTA DAM, CA US",7/25/2010,,,0,0,0,104,74,77
USC00048135,"SHASTA DAM, CA US",7/26/2010,,,0,0,0,100,72,75
USC00048135,"SHASTA DAM, CA US",7/27/2010,,,0,0,0,96,67,67
USC00048135,"SHASTA DAM, CA US",7/28/2010,,,0,0,0,90,65,65
USC00048135,"SHASTA DAM, CA US",7/29/2010,,,0,0,0,93,65,68
USC00048135,"SHASTA DAM, CA US",7/30/2010,,,0,0,0,95,67,69
USC00048135,"SHASTA DAM, CA US",7/31/2010,,,0,0,0,94,68,70
USC00048135,"SHASTA DAM, CA US",8/1/2010,,,0,0,0,93,67,70
USC00048135,"SHASTA DAM, CA US",8/2/2010,,,0,0,0,96,69,71
USC00048135,"SHASTA DAM, CA US",8/3/2010,,,0,0,0,95,68,70
USC00048135,"SHASTA DAM, CA US",8/4/2010,,,0,0,0,98,70,73
USC00048135,"SHASTA DAM, CA US",8/5/2010,,,0,0,0,96,69,72
USC00048135,"SHASTA DAM, CA US",8/6/2010,,,0,0,0,96,68,71
USC00048135,"SHASTA DAM, CA US",8/7/2010,,,0,0,0,99,71,73
USC00048135,"SHASTA DAM, CA US",8/8/2010,,,0,0,0,98,69,72
USC00048135,"SHASTA DAM, CA US",8/9/2010,,,0,0,0,93,65,67
USC00048135,"SHASTA DAM, CA US",8/10/2010,,,0,0,0,90,67,70
USC00048135,"SHASTA DAM, CA US",8/11/2010,,,0,0,0,85,64,66
USC00048135,"SHASTA DAM, CA US",8/12/2010,,,0,0,0,83,64,68
USC00048135,"SHASTA DAM, CA US",8/13/2010,,,0,0,0,95,67,68
USC00048135,"SHASTA DAM, CA US",8/14/2010,,,0,0,0,94,68,70
USC00048135,"SHASTA DAM, CA US",8/15/2010,,,0,0,0,95,70,71
USC00048135,"SHASTA DAM, CA US",8/16/2010,,,0,0,0,96,70,73
USC00048135,"SHASTA DAM, CA US",8/17/2010,,,0,0,0,102,71,73
USC00048135,"SHASTA DAM, CA US",8/18/2010,,,0,0,0,94,65,67
USC00048135,"SHASTA DAM, CA US",8/19/2010,,,0,0,0,91,64,67
USC00048135,"SHASTA DAM, CA US",8/20/2010,,,0,0,0,98,67,69
USC00048135,"SHASTA DAM, CA US",8/21/2010,,,0,0,0,92,65,68
USC00048135,"SHASTA DAM, CA US",8/22/2010,,,0,0,0,92,60,62
USC00048135,"SHASTA DAM, CA US",8/23/2010,,,0,0,0,88,62,72
USC00048135,"SHASTA DAM, CA US",8/24/2010,,,0,0,0,96,72,77
USC00048135,"SHASTA DAM, CA US",8/25/2010,,,0,0,0,103,72,73
USC00048135,"SHASTA DAM, CA US",8/26/2010,,,0,0,0,107,71,72
USC00048135,"SHASTA DAM, CA US",8/27/2010,,,0,0,0,96,72,73
USC00048135,"SHASTA DAM, CA US",8/28/2010,,,0.02,0,0,92,59,59
USC00048135,"SHASTA DAM, CA US",8/29/2010,,,0.27,0,0,62,54,58
USC00048135,"SHASTA DAM, CA US",8/30/2010,,,0,0,0,80,58,60
USC00048135,"SHASTA DAM, CA US",8/31/2010,,,0,0,0,78,60,62
USC00048135,"SHASTA DAM, CA US",9/1/2010,,,0,0,0,86,62,69
USC00048135,"SHASTA DAM, CA US",9/2/2010,,,0,0,0,92,69,75
USC00048135,"SHASTA DAM, CA US",9/3/2010,,,0,0,0,99,68,69
