DATE,STATION,NAME,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
2010-01-01,USC00048135,"SHASTA DAM, CA US",,,1.34,0.0,0.0,47.0,40.0,45.99330539923668
2010-01-02,USC00048135,"SHASTA DAM, CA US",,,0.71,0.0,0.0,50.0,44.0,44.0
2010-01-03,USC00048135,"SHASTA DAM, CA US",,,0.0,0.0,0.0,53.0,44.0,44.0
2010-01-04,USC00048135,"SHASTA DAM, CA US",,,0.0,0.0,0.0,58.0,42.0,42.087866012063294
2010-01-05,USC00048135,"SHASTA DAM, CA US",,,0.0,0.0,0.0,58.0,42.0,44.990821571037195
2010-01-06,USC00048135,"SHASTA DAM, CA US",,,0.0,0.0,0.0,56.0,45.0,47.986592538915275
2010-01-07,USC00048135,"SHASTA DAM, CA US",,,0.0,0.0,0.0,53.0,37.0,37.91752965427315
2010-01-08,USC00048135,"SHASTA DAM, CA US",,,0.0,0.0,0.0,53.0,37.0,40.96301344172146
2010-01-09,USC00048135,"SHASTA DAM, CA US",,,0.16,0.0,0.0,47.0,41.0,45.89783724110794
2010-01-10,USC00048135,"SHASTA DAM, CA US",,,0.05,0.0,0.0,54.0,45.0,46.08637663853644
2010-01-11,USC00048135,"SHASTA DAM, CA US",,,0.0,0.0,0.0,56.0,42.0,43.10328159967553
2010-01-12,USC00048135,"SHASTA DAM, CA US",,,0.95,0.0,0.0,50.0,43.0,45.168006152480224
2010-01-13,USC00048135,"SHASTA DAM, CA US",,,2.57,0.0,0.0,52.0,45.0,47.04340533769214
2010-01-14,USC00048135,"SHASTA DAM, CA US",,,0.0,0.0,0.0,57.0,43.0,43.0
2010-01-15,USC00048135,"SHASTA DAM, CA US",,,0.0,0.0,0.0,57.0,42.0,44.95310367769043
2010-01-16,USC00048135,"SHASTA DAM, CA US",,,0.0,0.0,0.0,50.0,43.0,44.049064804374034
2010-01-17,USC00048135,"SHASTA DAM, CA US",,,0.5,0.0,0.0,55.0,44.0,45.020086355456094
2010-01-18,USC00048135,"SHASTA DAM, CA US",,,3.05,0.0,0.0,48.0,45.0,47.982579185365815
2010-01-19,USC00048135,"SHASTA DAM, CA US",,,2.22,0.0,0.0,49.0,44.0,44.97379214231242
2010-01-20,USC00048135,"SHASTA DAM, CA US",,,2.1,0.0,0.0,45.0,40.0,40.11711904207725
2010-01-21,USC00048135,"SHASTA DAM, CA US",,,3.19,0.0,0.0,44.0,34.0,41.956815265618296
2010-01-22,USC00048135,"SHASTA DAM, CA US",,,0.4,0.0,0.0,44.0,39.0,39.134667592683606
2010-01-23,USC00048135,"SHASTA DAM, CA US",,,1.13,0.0,0.0,42.0,32.0,33.01821361940002
2010-01-24,USC00048135,"SHASTA DAM, CA US",,,0.39,0.0,0.0,41.0,33.0,40.96321191834174
2010-01-25,USC00048135,"SHASTA DAM, CA US",,,1.6,0.0,0.0,42.0,38.0,38.0
2010-01-26,USC00048135,"SHASTA DAM, CA US",,,1.31,0.0,0.0,42.0,36.0,39.984547527006725
2010-01-27,USC00048135,"SHASTA DAM, CA US",,,0.0,0.0,0.0,52.0,39.0,44.050336567055155
2010-01-28,USC00048135,"SHASTA DAM, CA US",,,0.0,0.0,0.0,57.0,43.0,45.9622987041606
2010-01-29,USC00048135,"SHASTA DAM, CA US",,,0.0,0.0,0.0,58.0,43.0,44.08503355529805
2010-01-30,USC00048135,"SHASTA DAM, CA US",,,0.01,0.0,0.0,52.0,44.0,44.0
2010-01-31,USC00048135,"SHASTA DAM, CA US",,,0.1,0.0,0.0,48.0,43.0,43.0
2010-02-01,USC00048135,"SHASTA DAM, CA US",,,0.02,0.0,0.0,55.0,41.0,41.87133055975085
2010-02-02,USC00048135,"SHASTA DAM, CA US",,,0.41,0.0,0.0,55.0,41.0,43.05594768368044
2010-02-03,USC00048135,"SHASTA DAM, CA US",,,0.25,0.0,0.0,53.0,43.0,45.973282430643046
2010-02-04,USC00048135,"SHASTA DAM, CA US",,,0.26,0.0,0.0,52.0,44.0,44.15788705073359
2010-02-05,USC00048135,"SHASTA DAM, CA US",,,3.41,0.0,0.0,52.0,44.0,47.070481001726826
2010-02-06,USC00048135,"SHASTA DAM, CA US",,,0.9,0.0,0.0,50.0,43.0,43.00844997737276
2010-02-07,USC00048135,"SHASTA DAM, CA US",,,0.7,0.0,0.0,46.0,40.0,41.12251760210269
2010-02-08,USC00048135,"SHASTA DAM, CA US",,,0.0,0.0,0.0,58.0,41.0,41.04051088494221
2010-02-09,USC00048135,"SHASTA DAM, CA US",,,0.45,0.0,0.0,51.0,41.0,41.10082601208548
2010-02-10,USC00048135,"SHASTA DAM, CA US",,,0.0,0.0,0.0,56.0,39.0,39.913762850034274
2010-02-11,USC00048135,"SHASTA DAM, CA US",,,0.2,0.0,0.0,49.0,40.0,43.046118885824114
2010-02-12,USC00048135,"SHASTA DAM, CA US",,,0.74,0.0,0.0,48.0,43.0,45.0502721860603
2010-02-13,USC00048135,"SHASTA DAM, CA US",,,0.05,0.0,0.0,52.0,44.0,47.84552589347788
2010-02-14,USC00048135,"SHASTA DAM, CA US",,,0.0,0.0,0.0,59.0,43.0,43.15066254640897
2010-02-15,USC00048135,"SHASTA DAM, CA US",,,0.05,0.0,0.0,50.0,43.0,43.88396677422953
2010-02-16,USC00048135,"SHASTA DAM, CA US",,,0.0,0.0,0.0,63.0,44.0,50.87010376354009
2010-02-17,USC00048135,"SHASTA DAM, CA US",,,0.0,0.0,0.0,72.0,49.0,49.715131446918626
2010-02-18,USC00048135,"SHASTA DAM, CA US",,,0.0,0.0,0.0,71.0,46.0,47.04738559398268
2010-02-19,USC00048135,"SHASTA DAM, CA US",,,0.0,0.0,0.0,68.0,45.0,45.83569345730853
2010-02-20,USC00048135,"SHASTA DAM, CA US",,,0.0,0.0,0.0,65.0,45.0,46.9483080513643
2010-02-21,USC00048135,"SHASTA DAM, CA US",,,0.15,0.0,0.0,61.0,39.0,39.08378683874732
2010-02-22,USC00048135,"SHASTA DAM, CA US",,,0.0,0.0,0.0,55.0,38.0,41.01920529096929
2010-02-23,USC00048135,"SHASTA DAM, CA US",,,0.0,0.0,0.0,59.0,41.0,41.93763027393877
2010-02-24,USC00048135,"SHASTA DAM, CA US",,,1.49,0.0,0.0,43.0,36.0,38.84093204891755
2010-02-25,USC00048135,"SHASTA DAM, CA US",,,0.02,0.0,0.0,51.0,39.0,43.98923871145885
2010-02-26,USC00048135,"SHASTA DAM, CA US",,,0.57,0.0,0.0,55.0,42.0,48.085527526365304
2010-02-27,USC00048135,"SHASTA DAM, CA US",,,2.35,0.0,0.0,50.0,44.0,44.07008364467527
2010-02-28,USC00048135,"SHASTA DAM, CA US",,,0.0,0.0,0.0,62.0,44.0,46.17867808359075
2010-03-01,USC00048135,"SHASTA DAM, CA US",,,0.0,0.0,0.0,66.0,45.0,45.0
2010-03-02,USC00048135,"SHASTA DAM, CA US",,,0.1,0.0,0.0,53.0,45.0,47.86829663062858
2010-03-03,USC00048135,"SHASTA DAM, CA US",,,2.46,0.0,0.0,50.0,39.0,40.03099509788444
2010-03-04,USC00048135,"SHASTA DAM, CA US",,,0.03,0.0,0.0,49.0,36.0,36.021142122854
2010-03-05,USC00048135,"SHASTA DAM, CA US",,,0.01,0.0,0.0,49.0,36.0,43.99951403872161
2010-03-06,USC00048135,"SHASTA DAM, CA US",,,0.02,0.0,0.0,54.0,43.0,50.92536019902359
2010-03-07,USC00048135,"SHASTA DAM, CA US",,,0.0,0.0,0.0,68.0,45.0,45.734662089981754
2010-03-08,USC00048135,"SHASTA DAM, CA US",,,0.0,0.0,0.0,69.0,45.0,45.89933867378483
2010-03-09,USC00048135,"SHASTA DAM, CA US",,,0.03,0.0,0.0,56.0,37.0,38.055706846629505
2010-03-10,USC00048135,"SHASTA DAM, CA US",,,0.28,0.0,0.0,49.0,34.0,36.02839635984012
2010-03-11,USC00048135,"SHASTA DAM, CA US",,,0.0,0.0,0.0,56.0,36.0,40.09652640005861
2010-03-12,USC00048135,"SHASTA DAM, CA US",,,0.04,0.0,0.0,57.0,40.0,46.03451819090325
2010-03-13,USC00048135,"SHASTA DAM, CA US",,,1.82,0.0,0.0,52.0,35.0,36.07360172425833
2010-03-14,USC00048135,"SHASTA DAM, CA US",,,0.0,0.0,0.0,55.0,35.0,44.07647320210108
2010-03-15,USC00048135,"SHASTA DAM, CA US",,,0.0,0.0,0.0,67.0,44.0,47.00204751703285
2010-03-16,USC00048135,"SHASTA DAM, CA US",,,0.0,0.0,0.0,66.0,45.0,45.00274987537328
2010-03-17,USC00048135,"SHASTA DAM, CA US",,,0.0,0.0,0.0,66.0,44.0,49.709113756772815
2010-03-18,USC00048135,"SHASTA DAM, CA US",,,0.0,0.0,0.0,74.0,50.0,52.93434159166379
2010-03-19,USC00048135,"SHASTA DAM, CA US",,,0.0,0.0,0.0,72.0,51.0,51.0
2010-03-20,USC00048135,"SHASTA DAM, CA US",,,0.0,0.0,0.0,77.0,48.0,48.0
2010-03-21,USC00048135,"SHASTA DAM, CA US",,,0.0,0.0,0.0,69.0,47.0,48.90696611653569
2010-03-22,USC00048135,"SHASTA DAM, CA US",,,0.02,0.0,0.0,59.0,44.0,45.09375640137582
2010-03-23,USC00048135,"SHASTA DAM, CA US",,,0.0,0.0,0.0,65.0,44.0,49.911849003532545
2010-03-24,USC00048135,"SHASTA DAM, CA US",,,0.0,0.0,0.0,74.0,47.0,48.110243264161724
2010-03-25,USC00048135,"SHASTA DAM, CA US",,,0.02,0.0,0.0,67.0,44.0,44.90388449647374
2010-03-26,USC00048135,"SHASTA DAM, CA US",,,0.14,0.0,0.0,55.0,38.0,38.0
2010-03-27,USC00048135,"SHASTA DAM, CA US",,,0.0,0.0,0.0,61.0,38.0,47.932018764692344
2010-03-28,USC00048135,"SHASTA DAM, CA US",,,0.0,0.0,0.0,69.0,47.0,49.950376599066416
2010-03-29,USC00048135,"SHASTA DAM, CA US",,,0.05,0.0,0.0,60.0,49.0,50.11786379460416
2010-03-30,USC00048135,"SHASTA DAM, CA US",,,0.2,0.0,0.0,58.0,42.0,42.9672915372073
