Date,PX_LAST,t-1,t-7,7d,30d,ng_t-1,ng_t-7,ng_7d,ng_30d,ng_30d_2
1/1/2010,,,,,,,,,,6.25
1/2/2010,45.14,,,45.14,45.14,,,,,6.25
1/3/2010,50.9,45.14,,48.02,48.02,,,,,6.25
1/4/2010,50.21,50.9,,48.75,48.75,6.26,5.9,6.25,6.25,6.25
1/5/2010,51.6,50.21,,49.4625,49.4625,6.19,6.07,6.255,6.255,6.25
1/6/2010,49.69,51.6,,49.508,49.508,6.48,5.93,6.233333333,6.233333333,6.25
1/7/2010,52.5,49.69,,50.00666667,50.00666667,6.06,5.97,6.295,6.295,6.25
1/8/2010,55.16,52.5,,50.74285714,50.74285714,5.92,5.92,6.248,6.248,6.25
1/9/2010,48.46,55.16,45.14,51.21714286,50.4575,5.92,5.92,6.248,6.248,6.25
1/10/2010,48.37,48.46,50.9,50.85571429,50.22555556,5.92,5.92,6.248,6.248,6.25
1/11/2010,53.43,48.37,50.21,51.31571429,50.546,5.85,5.95,6.182,6.193333333,6.25
1/12/2010,52.36,53.43,51.6,51.42428571,50.71090909,5.9,6.11,6.1,6.144285714,6.25
1/13/2010,49.04,52.36,49.69,51.33142857,50.57166667,6.07,6.03,6.042,6.11375,6.25
1/14/2010,48.17,49.04,52.5,50.71285714,50.38692308,5.93,5.9,5.96,6.108888889,6.25
1/15/2010,47.46,48.17,55.16,49.61285714,50.17785714,5.97,5.76,5.934,6.091,6.25
1/16/2010,47.67,47.46,48.46,49.5,50.01066667,5.97,5.76,5.934,6.091,6.25
1/17/2010,45.73,47.67,48.37,49.12285714,49.743125,5.97,5.76,5.934,6.091,6.25
1/18/2010,54.91,45.73,53.43,49.33428571,50.04705882,5.97,5.76,5.9375,6.091,6.25
1/19/2010,55.16,54.91,52.36,49.73428571,50.33111111,5.92,5.62,5.9675,6.08,6.25
1/20/2010,54,55.16,49.04,50.44285714,50.52421053,5.95,5.62,5.9725,6.066666667,6.25
1/21/2010,55.04,54,48.17,51.42428571,50.75,6.11,5.61,5.9425,6.057692308,6.25
1/22/2010,53.07,55.04,47.46,52.22571429,50.86047619,6.03,5.76,5.9875,6.061428571,6.25
